NumberOfEntries,EXT_Sum,EST_Sum,AGR_Sum,CSN_Sum,OPN_Sum,EXT_Var,EST_Var,AGR_Var,CSN_Var,OPN_Var,Country,EXT_Mean,EST_Mean,AGR_Mean,CSN_Mean,OPN_Mean,EXT_Std,EST_Std,AGR_Std,CSN_Std,OPN_Std
22,55,52,59,60,65,0,0,0,0,0,MZ,2,2,2,2,2,0,0,0,0,0
21,57,55,58,58,61,0,0,0,0,0,VI,2,2,2,2,2,0,0,0,0,0
18,45,48,48,46,53,0,0,0,0,0,MW,2,2,2,2,2,0,0,0,0,0
17,43,43,46,44,50,0,0,0,0,0,AG,2,2,2,2,2,0,0,0,0,0
17,41,39,42,46,52,0,0,0,0,0,SC,2,2,2,2,3,0,0,0,0,0
16,44,44,48,46,47,0,0,0,0,0,LC,2,2,3,2,2,0,0,0,0,0
15,35,38,40,39,42,0,0,0,0,0,GD,2,2,2,2,2,0,0,0,0,0
15,38,36,40,38,42,0,0,0,0,0,PG,2,2,2,2,2,0,0,0,0,0
14,36,37,39,36,40,0,0,0,0,0,VC,2,2,2,2,2,0,0,0,0,0
14,36,31,39,35,41,0,0,0,0,0,GL,2,2,2,2,2,0,0,0,0,0
13,31,32,36,33,38,0,0,0,0,0,SO,2,2,2,2,2,0,0,0,0,0
13,30,36,32,31,34,0,0,0,0,0,AX,2,2,2,2,2,0,0,0,0,0
12,32,31,32,31,32,0,0,0,0,0,AO,2,2,2,2,2,0,0,0,0,0
12,30,32,32,32,36,0,0,0,0,0,SN,2,2,2,2,3,0,0,0,0,0
12,29,30,31,34,36,0,0,0,0,0,MG,2,2,2,2,3,0,0,0,0,0
12,30,29,35,35,36,0,0,0,0,0,HT,2,2,2,2,3,0,0,0,0,0
11,28,27,30,27,31,0,0,0,0,0,SZ,2,2,2,2,2,0,0,0,0,0
10,27,27,25,26,28,0,0,0,0,0,YE,2,2,2,2,2,0,0,0,0,0
10,27,25,29,28,30,0,0,0,0,0,DM,2,2,2,2,3,0,0,0,0,0
10,24,28,25,28,28,0,0,0,0,0,KN,2,2,2,2,2,0,0,0,0,0
10,24,27,29,28,28,0,0,0,0,0,BT,2,2,2,2,2,0,0,0,0,0
10,24,26,27,28,28,0,0,0,0,0,AD,2,2,2,2,2,0,0,0,0,0
8,18,20,23,22,24,0,0,0,0,0,LS,2,2,2,2,3,0,0,0,0,0
7,19,17,19,20,20,0,0,0,0,0,CI,2,2,2,2,2,0,0,0,0,0
7,20,19,19,21,19,0,0,0,0,0,PF,2,2,2,3,2,0,0,0,0,0
7,17,20,21,22,18,0,0,0,0,0,GM,2,2,3,3,2,0,0,0,0,0
7,17,14,20,20,22,0,0,0,0,0,CU,2,2,2,2,3,0,0,0,0,0
7,17,18,21,19,21,0,0,0,0,0,WS,2,2,3,2,3,0,0,0,0,0
6,18,15,18,16,18,0,0,0,0,0,VU,3,2,3,2,3,0,0,0,0,0
6,18,15,18,15,18,0,0,0,0,0,RE,3,2,3,2,3,0,0,0,0,0
5,13,12,13,12,14,0,0,0,0,0,LR,2,2,2,2,2,0,0,0,0,0
5,13,14,15,14,15,0,0,0,0,0,MP,2,2,3,2,3,0,0,0,0,0
5,12,12,13,14,13,0,0,0,0,0,CV,2,2,2,2,2,0,0,0,0,0
5,13,14,13,13,16,0,0,0,0,0,XK,2,2,2,2,3,0,0,0,0,0
5,11,13,12,11,15,0,0,0,0,0,MQ,2,2,2,2,3,0,0,0,0,0
5,15,11,14,14,15,0,0,0,0,0,TC,3,2,2,2,3,0,0,0,0,0
